subject,Accuracy,F1,Precision,Recall
29257001,0.8177777777777778,0.14583333333333334,0.3333333333333333,0.09333333333333334
29273001,0.8466666666666667,0.26595744680851063,0.6578947368421053,0.16666666666666666
29426001,0.807070707070707,0.06829268292682927,0.175,0.04242424242424243
29789001,0.16666666666666666,0.2857142857142857,0.16666666666666666,1.0
30243001,0.8202020202020202,0.2583333333333333,0.41333333333333333,0.18787878787878787
30261001,0.7111111111111111,0.16666666666666669,0.16049382716049382,0.17333333333333334
31056001,0.5496296296296296,0.2549019607843137,0.17597292724196278,0.4622222222222222
3109001,0.8333333333333334,0.0,0.0,0.0
31102001,0.8166666666666667,0.187192118226601,0.3584905660377358,0.12666666666666668
31397001,0.804040404040404,0.13392857142857142,0.2542372881355932,0.09090909090909091
31777001,0.8333333333333334,0.0,0.0,0.0
3195001,0.8185185185185185,0.25531914893617025,0.4,0.1875
32459001,0.774074074074074,0.33260393873085337,0.3261802575107296,0.3392857142857143
32505001,0.8323232323232324,0.0,0.0,0.0
358001,0.7977777777777778,0.11650485436893206,0.21428571428571427,0.08
36001,0.7855555555555556,0.10232558139534884,0.16923076923076924,0.07333333333333333
3703001,0.6357142857142857,0.23372287145242074,0.17994858611825193,0.3333333333333333
3800001,0.8155555555555556,0.25225225225225223,0.3888888888888889,0.18666666666666668
3942001,0.8393939393939394,0.45733788395904434,0.5275590551181102,0.4036144578313253
4305001,0.8242424242424242,0.13861386138613863,0.3783783783783784,0.08484848484848485
4824001,0.6466666666666666,0.19696969696969696,0.15853658536585366,0.26
4949001,0.8281481481481482,0.056910569105691054,0.3181818181818182,0.03125
4971001,0.8252525252525252,0.07486631016042782,0.30434782608695654,0.042682926829268296
499001,0.7888888888888889,0.20168067226890754,0.2727272727272727,0.16
5224001,0.8343434343434344,0.0,0.0,0.0
5251001,0.8344444444444444,0.1286549707602339,0.5238095238095238,0.07333333333333333
5510001,0.8343434343434344,0.0,0.0,0.0
5568001,0.7848484848484848,0.15810276679841898,0.22727272727272727,0.12121212121212122
5857001,0.16767676767676767,0.28719723183391005,0.16767676767676767,1.0
630001,0.8411111111111111,0.22702702702702704,0.6,0.14
6694001,0.7656565656565657,0.1888111888111888,0.2231404958677686,0.16363636363636364
6830001,0.7484848484848485,0.18360655737704917,0.2,0.1696969696969697
7330001,0.7888888888888889,0.1810344827586207,0.25609756097560976,0.14
7385001,0.7355555555555555,0.4848484848484848,0.35974304068522484,0.7433628318584071
7488001,0.6255555555555555,0.262582056892779,0.19543973941368079,0.4
7610001,0.8181818181818182,0.07216494845360825,0.2413793103448276,0.04242424242424243
7615001,0.8111111111111111,0.11374407582938388,0.2608695652173913,0.07272727272727272
782001,0.8126984126984127,0.32183908045977017,0.4057971014492754,0.26666666666666666
8762001,0.8325396825396826,0.04524886877828055,0.45454545454545453,0.023809523809523808
8834001,0.8244444444444444,0.04819277108433735,0.25,0.02666666666666667
8982001,0.8188888888888889,0.10928961748633881,0.30303030303030304,0.06666666666666667
945001,0.8303703703703704,0.041841004184100423,0.38461538461538464,0.022123893805309734
9503001,0.16565656565656567,0.2842287694974004,0.16565656565656567,1.0
9689001,0.7677777777777778,0.18039215686274507,0.21904761904761905,0.15333333333333332
9809001,0.6531746031746032,0.27045075125208684,0.20822622107969152,0.38571428571428573
