subject,Accuracy,F1,Precision,Recall
29257001,0.7611111111111111,0.3042071197411003,0.29559748427672955,0.31333333333333335
29273001,0.8288888888888889,0.5416666666666667,0.489247311827957,0.6066666666666667
29426001,0.7343434343434343,0.3408521303258145,0.2905982905982906,0.4121212121212121
29789001,0.8222222222222222,0.4805194805194805,0.46835443037974683,0.49333333333333335
30243001,0.798989898989899,0.3876923076923076,0.39375,0.38181818181818183
30261001,0.6911111111111111,0.19961612284069094,0.17567567567567569,0.2311111111111111
31056001,0.7081481481481482,0.24521072796934867,0.21548821548821548,0.28444444444444444
3109001,0.7656565656565657,0.4111675126903553,0.3537117903930131,0.4909090909090909
31102001,0.7222222222222222,0.27325581395348836,0.2422680412371134,0.31333333333333335
31397001,0.7393939393939394,0.27932960893854747,0.25906735751295334,0.30303030303030304
31777001,0.6777777777777778,0.19762845849802368,0.16891891891891891,0.23809523809523808
3195001,0.7770370370370371,0.3609341825902336,0.3441295546558704,0.3794642857142857
32459001,0.76,0.3671875,0.3263888888888889,0.41964285714285715
32505001,0.7212121212121212,0.30653266331658297,0.2629310344827586,0.3674698795180723
358001,0.74,0.2822085889570552,0.26136363636363635,0.30666666666666664
36001,0.7188888888888889,0.18122977346278318,0.1761006289308176,0.18666666666666668
3703001,0.7,0.1853448275862069,0.16929133858267717,0.20476190476190476
3800001,0.76,0.372093023255814,0.32989690721649484,0.4266666666666667
3942001,0.8151515151515152,0.47564469914040114,0.453551912568306,0.5
4305001,0.794949494949495,0.2975778546712803,0.3467741935483871,0.2606060606060606
4824001,0.6233333333333333,0.23476297968397292,0.17747440273037543,0.3466666666666667
4949001,0.7318518518518519,0.25206611570247933,0.23461538461538461,0.27232142857142855
4971001,0.6575757575757576,0.3313609467455621,0.24489795918367346,0.5121951219512195
499001,0.7333333333333333,0.27710843373493976,0.25274725274725274,0.30666666666666664
5224001,0.7686868686868686,0.254071661237785,0.2727272727272727,0.23780487804878048
5251001,0.8233333333333334,0.37647058823529417,0.45714285714285713,0.32
5510001,0.7474747474747475,0.24242424242424243,0.24096385542168675,0.24390243902439024
5568001,0.7232323232323232,0.1845238095238095,0.18128654970760233,0.18787878787878787
5857001,0.8818181818181818,0.5979381443298968,0.696,0.5240963855421686
630001,0.76,0.34545454545454546,0.31666666666666665,0.38
6694001,0.7555555555555555,0.34946236559139787,0.3140096618357488,0.3939393939393939
6830001,0.7272727272727273,0.23728813559322032,0.2222222222222222,0.2545454545454545
7330001,0.7344444444444445,0.25545171339563855,0.23976608187134502,0.2733333333333333
7385001,0.8318518518518518,0.5414141414141415,0.49814126394052044,0.5929203539823009
7488001,0.7144444444444444,0.3289817232375979,0.2703862660944206,0.42
7610001,0.7686868686868686,0.2821316614420063,0.2922077922077922,0.2727272727272727
7615001,0.7333333333333333,0.3125,0.273972602739726,0.36363636363636365
782001,0.7626984126984127,0.3731656184486373,0.3333333333333333,0.4238095238095238
8762001,0.7317460317460317,0.29288702928870297,0.26119402985074625,0.3333333333333333
8834001,0.6755555555555556,0.39166666666666666,0.28484848484848485,0.6266666666666667
8982001,0.7477777777777778,0.25573770491803277,0.25161290322580643,0.26
945001,0.6933333333333334,0.32131147540983607,0.2552083333333333,0.4336283185840708
9503001,0.7535353535353535,0.3645833333333333,0.3181818181818182,0.4268292682926829
9689001,0.66,0.21938775510204078,0.17768595041322313,0.2866666666666667
9809001,0.7174603174603175,0.28800000000000003,0.2482758620689655,0.34285714285714286
